Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,0,0,1,Import,136,Cayman Isds,CYM,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,,,1334620075,,,0
H5,2020,2020,2020,0,0,1,Import,136,Cayman Isds,CYM,4,Afghanistan,AFG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,556,,,4
H5,2020,2020,2020,0,0,1,Import,136,Cayman Isds,CYM,8,Albania,ALB,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,265,,,4
H5,2020,2020,2020,0,0,1,Import,136,Cayman Isds,CYM,28,Antigua and Barbuda,ATG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,1214,,,4
H5,2020,2020,2020,0,0,1,Import,136,Cayman Isds,CYM,32,Argentina,ARG,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,24136,,,4
H5,2020,2020,2020,0,0,1,Import,136,Cayman Isds,CYM,36,Australia,AUS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,136296,,,4
H5,2020,2020,2020,0,0,1,Import,136,Cayman Isds,CYM,40,Austria,AUT,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,296787,,,4
H5,2020,2020,2020,0,0,1,Import,136,Cayman Isds,CYM,44,Bahamas,BHS,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,199623,,,4
H5,2020,2020,2020,0,0,1,Import,136,Cayman Isds,CYM,48,Bahrain,BHR,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,2198,,,4
H5,2020,2020,2020,0,0,1,Import,136,Cayman Isds,CYM,50,Bangladesh,BGD,,,,,,,,TOTAL,All Commodities,1,No Quantity,0,,,,0,,5181,,,4
